PC_ID,AC_ID
1,1
2,2
2,3
2,4
2,5
2,6
2,7
2,8
3,9
3,10
3,11
3,12
3,13
3,14
3,15
4,16
4,17
4,18
4,19
4,20
4,21
4,22
5,23
5,24
5,25
5,26
5,27
5,28
5,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
7,37
7,38
7,39
7,40
7,41
7,42
7,43
8,44
8,45
8,46
8,47
8,48
8,49
8,50
9,51
9,52
9,53
9,54
9,55
9,56
9,57
10,58
10,59
10,60
10,61
10,62
10,63
10,64
11,65
11,66
11,67
11,68
11,69
11,70
11,71
12,72
12,73
12,74
12,75
12,76
12,77
12,78
13,79
13,80
13,81
13,82
13,83
13,84
13,85
14,86
14,87
14,88
14,89
14,90
14,91
14,92
15,93
15,94
15,95
15,96
15,97
15,98
15,99
16,100
16,101
16,102
16,103
16,104
16,105
16,106
17,107
17,108
17,109
17,110
17,111
17,112
17,113
18,114
18,115
18,116
18,117
18,118
18,119
18,120
19,121
19,122
19,123
19,124
19,125
19,126
19,127
20,128
20,129
20,130
20,131
20,132
20,133
20,134
21,135
21,136
21,137
21,138
21,139
21,140
21,141
22,142
22,143
22,144
22,145
22,146
22,147
22,148
23,149
23,150
23,151
23,152
23,153
23,154
23,155
24,156
24,157
24,158
24,159
24,160
24,161
24,162
25,163
25,164
25,165
25,166
25,167
25,168
25,169
26,170
26,171
26,172
26,173
26,174
26,175
26,176
27,177
27,178
27,179
27,180
27,181
27,182
27,183
28,184
28,185
28,186
28,187
28,188
28,189
28,190
29,191
29,192
29,193
29,194
29,195
29,196
29,197
30,198
30,199
30,200
30,201
30,202
30,203
30,204
31,205
31,206
31,207
31,208
31,209
31,210
31,211
32,212
32,213
32,214
32,215
32,216
32,217
32,218
33,219
33,220
33,221
33,222
33,223
33,224
33,225
34,226
34,227
34,228
34,229
34,230
34,231
34,232
35,233
35,234
35,235
35,236
35,237
35,238
35,239
36,240
36,241
36,242
36,243
36,244
36,245
36,246
37,247
37,248
37,249
37,250
37,251
37,252
37,253
38,254
38,255
38,256
38,257
38,258
38,259
38,260
39,261
39,262
39,263
39,264
39,265
39,266
39,267
40,268
40,269
40,270
40,271
40,272
40,273
40,274
41,275
41,276
41,277
41,278
41,279
41,280
41,281
42,282
42,283
42,284
42,285
42,286
42,287
42,288
43,289
43,290
43,291
43,292
43,293
43,294
43,295
44,296
44,297
44,298
44,299
44,300
44,301
44,302
44,303
44,304
44,305
44,306
44,307
44,308
44,309
44,310
44,311
44,312
44,313
44,314
44,315
44,316
44,317
44,318
44,319
44,320
44,321
44,322
44,323
44,324
44,325
44,326
44,327
44,328
45,329
45,330
45,331
45,332
45,333
45,334
45,335
45,336
45,337
45,338
45,339
45,340
45,341
45,342
45,343
45,344
45,345
45,346
45,347
45,348
45,349
45,350
45,351
45,352
45,353
45,354
45,355
46,356
46,357
46,358
46,359
46,360
46,361
46,362
46,363
47,364
47,365
47,366
47,367
47,368
47,369
47,370
48,371
48,372
48,373
48,374
48,375
49,376
49,377
49,378
49,379
49,380
49,381
49,382
49,383
49,384
49,385
50,386
50,387
50,388
50,389
50,390
50,391
50,392
50,393
50,394
50,395
51,396
51,397
51,398
51,399
51,400
51,401
51,402
51,403
51,404
51,405
52,406
52,407
52,408
52,409
52,410
52,411
52,412
52,413
52,414
52,415
53,416
53,417
53,418
53,419
53,420
53,421
53,422
53,423
53,424
53,425
54,426
54,427
54,428
54,429
54,430
54,431
54,432
54,433
54,434
55,435
55,436
55,437
55,438
55,439
55,440
55,441
55,442
55,443
56,444
56,445
56,446
56,447
56,448
56,449
56,450
56,451
56,452
56,453
57,454
57,455
57,456
57,457
57,458
57,459
57,460
57,461
57,462
57,463
58,464
58,465
58,466
58,467
58,468
58,469
58,470
58,471
58,472
59,473
59,474
59,475
59,476
59,477
59,478
59,479
59,480
59,481
60,482
60,483
60,484
60,485
60,486
60,487
61,488
61,489
61,490
61,491
61,492
61,493
62,494
62,495
62,496
62,497
62,498
62,499
63,500
63,501
63,502
63,503
63,504
63,505
64,506
64,507
64,508
64,509
64,510
64,511
65,512
65,513
65,514
65,515
65,516
65,517
66,518
66,519
66,520
66,521
66,522
66,523
67,524
67,525
67,526
67,527
67,528
67,529
68,530
68,531
68,532
68,533
68,534
68,535
69,536
69,537
69,538
69,539
69,540
69,541
70,542
70,543
70,544
70,545
70,546
70,547
71,548
71,549
71,550
71,551
71,552
71,553
72,554
72,555
72,556
72,557
72,558
72,559
73,560
73,561
73,562
73,563
